,MAE,RMSE
1,0.1291203862338355,0.17287521734313196
2,0.1563954618618344,0.20417360882377938
3,0.1751200525146542,0.22459391185738015
4,0.1903557451159665,0.24041910704092828
5,0.20349021955873026,0.25330497383166206
6,0.21386557140133597,0.26316796898649225
7,0.2217547780636585,0.27042752917628565
8,0.2281658315297329,0.2760832117956902
9,0.23345354741269891,0.28046538867776366
10,0.2376005660855409,0.28387867170248027
11,0.2416581026080883,0.28733106661693547
12,0.24495020576498724,0.290317107385504
